fonte_dados,cod_estacao,estacao_historica,ano_alvo,estacao_mp10,municipio_mp10,distancia_km,nota,n_dias_mp10_validos,n_dias_precip_com_valor,n_overlap_primario,n_overlap_sens_1,n_overlap_sens_2,n_overlap_convencional,tipo_regra,criterio_primario,elegivel_pareamento_primario,pct_dias_precip_com_valor,pct_overlap_primario,pct_overlap_sens_1,pct_overlap_sens_2,pct_overlap_convencional,nome_estacao,municipios,tipo_estacao,periodicidade_fonte,faixa_operacional
CEMADEN,260720801G,CUPE,2021,EDCUPE,Ipojuca,1.69909448841243,CUPE 2021; EDCUPE 2024 usada apenas como referencia espacial provisoria,347,347,208,310,327,0,CEMADEN,CEMADEN_MAX_GAP_60MIN,TRUE,100,59.9423631123919,89.3371757925072,94.2363112391931,0,Campo do Avião,IPOJUCA,PLUVIOMETRICA_AUTOMATICA,"",<=5 km
CEMADEN,260720801A,CUPE,2021,EDCUPE,Ipojuca,2.31199229299342,CUPE 2021; EDCUPE 2024 usada apenas como referencia espacial provisoria,347,347,305,313,322,0,CEMADEN,CEMADEN_MAX_GAP_60MIN,TRUE,100,87.8962536023055,90.2017291066282,92.7953890489914,0,Centro,IPOJUCA,PLUVIOMETRICA_AUTOMATICA,"",<=5 km
CEMADEN,260720804A,CUPE,2021,EDCUPE,Ipojuca,3.31306361103069,CUPE 2021; EDCUPE 2024 usada apenas como referencia espacial provisoria,347,347,295,308,310,0,CEMADEN,CEMADEN_MAX_GAP_60MIN,TRUE,100,85.014409221902,88.7608069164265,89.3371757925072,0,Rurópolis,IPOJUCA,PLUVIOMETRICA_AUTOMATICA,"",<=5 km
CEMADEN,260720805A,CUPE,2021,EDCUPE,Ipojuca,10.642748652155,CUPE 2021; EDCUPE 2024 usada apenas como referencia espacial provisoria,347,168,71,79,82,0,CEMADEN,CEMADEN_MAX_GAP_60MIN,TRUE,48.4149855907781,20.4610951008646,22.7665706051873,23.6311239193084,0,NÃCLEO MARANHÃO - APAC | NÙCLEO MARANHÃO - APAC,IPOJUCA,PLUVIOMETRICA_AUTOMATICA,"",>10-20 km
CEMADEN,260290202A,CUPE,2021,EDCUPE,Ipojuca,11.2832131026728,CUPE 2021; EDCUPE 2024 usada apenas como referencia espacial provisoria,347,248,178,185,190,0,CEMADEN,CEMADEN_MAX_GAP_60MIN,TRUE,71.4697406340058,51.2968299711816,53.314121037464,54.7550432276657,0,Charneca,CABO DE SANTO AGOSTINHO,PLUVIOMETRICA_AUTOMATICA,"",>10-20 km
CEMADEN,260290204A,CUPE,2021,EDCUPE,Ipojuca,12.1770872579976,CUPE 2021; EDCUPE 2024 usada apenas como referencia espacial provisoria,347,343,275,289,297,0,CEMADEN,CEMADEN_MAX_GAP_60MIN,TRUE,98.8472622478386,79.2507204610951,83.28530259366,85.5907780979827,0,Enseado dos Corais,CABO DE SANTO AGOSTINHO,PLUVIOMETRICA_AUTOMATICA,"",>10-20 km
CEMADEN,260290203A,CUPE,2021,EDCUPE,Ipojuca,12.3419267993948,CUPE 2021; EDCUPE 2024 usada apenas como referencia espacial provisoria,347,347,317,330,333,0,CEMADEN,CEMADEN_MAX_GAP_60MIN,TRUE,100,91.3544668587896,95.1008645533141,95.9654178674352,0,Torrinha,CABO DE SANTO AGOSTINHO,PLUVIOMETRICA_AUTOMATICA,"",>10-20 km
CEMADEN,260720803A,CUPE,2021,EDCUPE,Ipojuca,12.9099201494164,CUPE 2021; EDCUPE 2024 usada apenas como referencia espacial provisoria,347,0,0,0,0,0,,,FALSE,0,0,0,0,0,Porto de Galinhas,IPOJUCA,PLUVIOMETRICA_AUTOMATICA,"",>10-20 km
CEMADEN,260290201G,CUPE,2021,EDCUPE,Ipojuca,13.0597386932039,CUPE 2021; EDCUPE 2024 usada apenas como referencia espacial provisoria,347,201,104,157,158,0,CEMADEN,CEMADEN_MAX_GAP_60MIN,TRUE,57.9250720461095,29.971181556196,45.2449567723343,45.5331412103746,0,Pirapama,CABO DE SANTO AGOSTINHO,PLUVIOMETRICA_AUTOMATICA,"",>10-20 km
CEMADEN,260720802A,CUPE,2021,EDCUPE,Ipojuca,15.3107152412702,CUPE 2021; EDCUPE 2024 usada apenas como referencia espacial provisoria,347,341,282,290,291,0,CEMADEN,CEMADEN_MAX_GAP_60MIN,TRUE,98.2708933717579,81.2680115273775,83.5734870317003,83.8616714697406,0,Camela,IPOJUCA,PLUVIOMETRICA_AUTOMATICA,"",>10-20 km
